ID,ProlificApprovals,FluentLanguages,Age,Gender,Ethnicity,CountryBirth,CountryResidence,Nationality,Language,Student,Employment,StartDate_Part1,EndDate_Part1,Progress_Part1,DurationSeconds_Part1,Finished_Part1,RecordedDate_Part1,Consent1_Part1,Consent2_Part1,Consent3_Part1,Consent4_Part1,Consent5_Part1,Consent6_Part1,Consent7_Part1,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NoDI4_Comp,NoDI4_TryAgain,NoDI4_Take,NoDI4_Nothing,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,DecisionConsequences,DecisionConsequences_Text,StartDate_Part2,EndDate_Part2,Progress_Part2,DurationSeconds_Part2,Finished_Part2,RecordedDate_Part2,Consent1_Part2,Consent2_Part2,Consent3_Part2,Consent4_Part2,Consent5_Part2,Consent6_Part2,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15,Pers_E1,Pers_A1,Pers_C1,Pers_N1,Pers_O1,Pers_Narc1,Pers_E2r,Pers_A2r,Pers_O2r,Pers_C2,Pers_C3r,Pers_Narc2,Pers_O3r,Pers_A3,Pers_N2r,Pers_N3,Pers_N4r,Pers_HonHum1r,Pers_E3r,Pers_A4r,Pers_O4r,Pers_C4r,Pers_E4,Pers_HonHum2r,GodControls,HowReligious,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6,Education,SES_1,BringDown_1,BringUp_1,PolSlider_19,WeeksYear,WeeksYear_TryAgain,Breakfast,YearsLivedCountry
20611,62,English,21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),2023-06-20T13:14:33Z,2023-06-20T13:41:03Z,100,1589,TRUE,2023-06-20T13:41:04Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I wanted the the bonus to be fair so I felt taking the 0.20 to make is even was right. Also I felt that any of the options were just sorta evil since you paying for someone to lose money its just a net loss for everyone.,0,52,53,100,0,0,0,0,83,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20612,5350,English,47,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T13:32:25Z,2023-06-20T13:41:08Z,100,523,TRUE,2023-06-20T13:41:09Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I didn't want to reduce anyone's bonus as it would reduce mine even more. I wanted to keep as much as possible for each round.,0,0,100,54,0,0,0,0,100,100,0,Yes,NA,2023-06-27T14:11:29Z,2023-06-27T14:26:19Z,100,889,TRUE,2023-06-27T14:26:20Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","100
|
|
70","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","94
|
|
81",Very inaccurate (1),Very accurate (7),Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Very accurate (7),Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Strongly agree,5 - Very religious,Very strongly disagree,Slightly agree,Strongly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Completed university,6,Strongly disagree (1),4,84,52,NA,I had yogurt and a banana for breakfast.,47
20613,218,English,41,Female,Black,United States,United States,United States,English,No,Full-Time,2023-06-20T13:16:49Z,2023-06-20T13:41:20Z,100,1471,TRUE,2023-06-20T13:41:22Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.50, Player 2 would have £0.20",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"I want to play fairly and if i need to strike back, I will.",10,26,38,29,88,72,7,8,1,72,4,Yes,NA,2023-06-27T14:03:02Z,2023-06-27T14:14:02Z,100,660,TRUE,2023-06-27T14:14:03Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,2 - Somewhat oppose,7 - Strongly favour,6 - Somewhat favour,2 - Somewhat oppose,3 - Slightly oppose,2 - Somewhat oppose,2 - Somewhat oppose,"85
|
|
76",100||50,"81
|
|
87","81
|
|
26","75
|
|
75","91
|
|
72","100
|
|
50","98
|
|
93","94
|
|
74","99
|
|
74","96
|
|
74","100
|
|
90","94
|
|
56","93
|
|
93","93
|
|
88",2,5,3,5,6,2,4,4,3,4,3,5,3,5,3,5,2,2,6,4,3,4,3,3,Somewhat agree,1 - Not at all religious,Slightly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,High School,2,4,4,50,52,NA,sausage and eggs,40
20614,1842,English,61,Female,White,United States,United States,United States,English,NA,NA,2023-06-20T13:22:44Z,2023-06-20T13:42:05Z,100,1161,TRUE,2023-06-20T13:42:06Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,to not lose more money,4,70,1,0,4,5,5,1,3,4,1,No,NA,2023-06-27T13:24:23Z,2023-06-27T13:30:23Z,100,360,TRUE,2023-06-27T13:30:29Z,Yes,Yes,Yes,Yes,Yes,Yes,6 - Somewhat favour,6 - Somewhat favour,2 - Somewhat oppose,2 - Somewhat oppose,4 - Neutral,4 - Neutral,6 - Somewhat favour,2 - Somewhat oppose,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",2,5,6,2,2,2,3,4,6,6,2,3,5,5,6,2,6,5,4,5,6,2,5,4,Slightly disagree,2,Strongly disagree,Somewhat agree,Neither agree nor disagree,Slightly agree,Somewhat agree,Somewhat agree,High School,3,2,6,72,52,NA,strawberries,39
20615,636,English,26,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T13:32:41Z,2023-06-20T13:42:41Z,100,599,TRUE,2023-06-20T13:42:42Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"If player 2 decided not to take my bonus, then I chose not to pay to take some of their bonus. If they did decide to take my bonus, I paid to take some of their bonus.",56,0,24,55,0,52,0,0,0,55,0,Yes,NA,2023-06-27T15:56:47Z,2023-06-27T16:04:38Z,100,470,TRUE,2023-06-27T16:04:39Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,2 - Somewhat oppose,2 - Somewhat oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",Very inaccurate (1),4,Very accurate (7),2,6,Very inaccurate (1),6,5,3,Very accurate (7),2,3,Very inaccurate (1),4,5,4,4,Very inaccurate (1),6,5,3,Very inaccurate (1),4,Very inaccurate (1),Somewhat agree,4,Somewhat disagree,Slightly disagree,Very strongly disagree,Strongly agree,Slightly agree,Slightly disagree,Masters degree,6,5,5,24,52,NA,a cookie,26
20616,571,English,36,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T13:32:44Z,2023-06-20T13:42:56Z,100,612,TRUE,2023-06-20T13:42:57Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I didn't see a point in taking money from another person if it wouldn't help me and it would be strictly punitive.,2,1,0,1,49,40,1,1,56,41,1,Yes,NA,2023-06-27T11:57:26Z,2023-06-27T12:01:36Z,100,250,TRUE,2023-06-27T12:01:37Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",2,6,6,Very inaccurate (1),4,3,3,Very inaccurate (1),2,6,2,3,4,6,5,3,6,Very inaccurate (1),3,Very inaccurate (1),3,2,3,2,Strongly disagree,1 - Not at all religious,Strongly agree,Strongly disagree,Very strongly disagree,Very strongly agree,Very strongly disagree,Strongly disagree,PhD or equivalent,7,3,6,11,52,NA,bagel,36
20617,643,"English, Spanish",42,Male,White,United States,United States,United States,English,No,Part-Time,2023-06-20T13:28:01Z,2023-06-20T13:43:02Z,100,900,TRUE,2023-06-20T13:43:03Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,picking a choice that would give me the best chance at a better bonus,0,58,88,0,0,0,0,0,18,0,0,Yes,NA,2023-06-28T02:19:18Z,2023-06-28T02:28:45Z,100,567,TRUE,2023-06-28T02:28:46Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,2 - Somewhat oppose,4 - Neutral,5 - Slightly favour,6 - Somewhat favour,6 - Somewhat favour,1 - Strongly oppose,6 - Somewhat favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","100
|
|
90","100
|
|
70","100
|
|
70","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","95
|
|
75",Very inaccurate (1),2,Very accurate (7),Very inaccurate (1),6,Very inaccurate (1),Very accurate (7),Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),5,Very inaccurate (1),4,Very accurate (7),Very inaccurate (1),4,Very inaccurate (1),Very accurate (7),Very accurate (7),4,Very inaccurate (1),Very inaccurate (1),3,Strongly disagree,1 - Not at all religious,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Slightly disagree,Strongly agree,Completed university,4,2,Strongly disagree (1),76,52,NA,cream of wheat,42
20618,1230,English,56,Female,White,United States,United States,United States,English,No,Part-Time,2023-06-20T13:28:44Z,2023-06-20T13:43:30Z,100,885,TRUE,2023-06-20T13:43:32Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I wanted to have as much money in the end as possible,11,70,69,58,11,14,10,5,55,65,15,Yes,NA,2023-06-27T13:57:05Z,2023-06-27T14:05:00Z,100,475,TRUE,2023-06-27T14:05:01Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,2 - Somewhat oppose,5 - Slightly favour,5 - Slightly favour,6 - Somewhat favour,6 - Somewhat favour,3 - Slightly oppose,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","85
|
|
85","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",2,4,2,3,5,3,3,4,2,4,2,3,2,3,5,2,4,5,5,3,2,4,3,4,Strongly disagree,1 - Not at all religious,Slightly disagree,Slightly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Masters degree,5,2,Strongly agree (7),34,52,NA,coffee,56
20619,4056,English,40,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T13:21:26Z,2023-06-20T13:43:42Z,100,1335,TRUE,2023-06-20T13:43:43Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I didn't want to take more from them even if they did take my bonus unless I started out with less money. I felt like if I took more as player one it would cost me money.,4,0,5,3,2,5,0,6,6,92,5,No,NA,2023-06-27T12:51:51Z,2023-06-27T13:02:47Z,100,655,TRUE,2023-06-27T13:02:48Z,Yes,Yes,Yes,Yes,Yes,Yes,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",Very inaccurate (1),6,6,2,Very accurate (7),Very inaccurate (1),5,2,2,6,2,2,2,6,5,2,6,2,5,2,Very inaccurate (1),2,2,2,Strongly agree,5 - Very religious,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very strongly disagree,Somewhat agree,High School,4,Strongly disagree (1),4,49,52,NA,I haven't eaten anything. I've only be up for a few minutes and am not hungry right now.,40
20620,228,English,28,Female,White,United States,United States,United States,English,No,NA,2023-06-20T13:32:33Z,2023-06-20T13:43:53Z,100,679,TRUE,2023-06-20T13:43:54Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"I wanted to keep it mostly fair, but I didn't want the other player to take from me and get ahead.",2,1,67,2,60,54,1,57,0,0,2,No,NA,2023-06-27T14:09:51Z,2023-06-27T14:15:23Z,100,332,TRUE,2023-06-27T14:15:26Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,1 - Strongly oppose,6 - Somewhat favour,6 - Somewhat favour,5 - Slightly favour,2 - Somewhat oppose,5 - Slightly favour,6 - Somewhat favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","85
|
|
85","100
|
|
50","100
|
|
90","100
|
|
70","90
|
|
100","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","90
|
|
100",2,4,2,3,4,4,4,4,3,5,4,5,3,3,5,2,4,5,5,4,3,5,2,5,Somewhat disagree,1 - Not at all religious,Somewhat agree,Strongly disagree,Very strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Completed university,7,5,4,5,52,NA,Coffee,28
